y,metric,model,layer,layer_idx,horizon,aggregation,fold,rsquared,rsquared_adj,aic,bic,delta_rsquared,delta_rsquared_adj,delta_rsquared_aic,delta_rsquared_bic,anova_rss,anova_delta_ss,anova_p
meanItemRT,Information value,gpt2_small,All,All,7,mean,full,0.2806107916702755,0.28056109774027005,2832822.310492608,2833044.4081688076,0.04262868614102,0.04259741490507618,-16642.614591332618,-16505.12555368524,300700595.75671804,17818548.249691904,0.0
meanItemRT,Information value,gpt2_small,All,All,8,mean,full,0.2829491054501385,0.28289957304604973,2831879.6230622726,2832101.720738472,0.044966999920883044,0.04493589021085587,-17585.302021668293,-17447.812984020915,299723193.90174234,18795950.104667604,0.0
meanItemRT,Information value,gpt2_small,All,All,9,mean,full,0.28450614332873825,0.28445671848163046,2831250.1991816447,2831472.296857844,0.046524037799482776,0.04649303564643659,-18214.725902296137,-18077.23686464876,299072360.9280343,19446783.078375638,0.0
meanItemRT,Information value,gpt2_small,All,All,10,mean,full,0.2862719938811624,0.28622269101538644,2830534.7042188123,2830756.8018950117,0.04828988835190695,0.048259008180192575,-18930.220865128562,-18792.731827481184,298334245.4448119,20184898.561598063,0.0
meanItemRT,Information value,gpt2_small,0,0,1,mean,full,0.23814710205577538,0.23812605203441883,2849404.223469505,2849499.408187876,0.0001649965265199116,0.0001623691992249654,-60.70161443576217,-50.125534616876394,318450176.397155,68967.60925495625,2.407697866824957e-15
meanItemRT,Information value,gpt2_small,0,0,2,mean,full,0.2509617341571405,0.25094103820450264,2844492.4826704483,2844587.667388819,0.012979628627885043,0.012977355369308774,-4972.442413492594,-4961.866333673708,313093733.0940501,5425410.912359834,0.0
meanItemRT,Information value,gpt2_small,0,0,3,mean,full,0.2506897231458689,0.2506690196775576,2844597.6124382056,2844692.7971565765,0.012707617616613431,0.012705336842363746,-4867.312645735219,-4856.736565916333,313207432.1490188,5311711.857391119,0.0
meanItemRT,Information value,gpt2_small,0,0,4,mean,full,0.2510435777629427,0.2510228840716465,2844460.84339373,2844556.028112101,0.013061472233687255,0.013059201236452656,-5004.081690210849,-4993.505610391963,313059522.93251497,5459621.073894978,0.0
meanItemRT,Information value,gpt2_small,0,0,5,mean,full,0.25190605862672044,0.2518853887657997,2844127.2133364268,2844222.3980547977,0.01392395309746497,0.013921705930605821,-5337.711747514084,-5327.135667695198,312699010.8389726,5820133.167437315,0.0
meanItemRT,Information value,gpt2_small,0,0,6,mean,full,0.2527413552441805,0.2527207084625336,2843803.7320014415,2843898.9167198124,0.014759249714925038,0.014757025627339715,-5661.193082499318,-5650.617002680432,312349861.60571265,6169282.400697291,0.0
meanItemRT,Information value,gpt2_small,0,0,7,mean,full,0.2541992817945714,0.2541786752954843,2843238.2604342806,2843333.4451526515,0.016217176265315936,0.016214992460290456,-6226.664649660233,-6216.088569841348,311740456.60325235,6778687.403157592,0.0
meanItemRT,Information value,gpt2_small,0,0,8,mean,full,0.2552247363269471,0.25520415816120345,2842839.86493504,2842935.049653411,0.017242630797691616,0.017240475326009586,-6625.06014890084,-6614.484069081955,311311822.44355637,7207321.562853575,0.0
meanItemRT,Information value,gpt2_small,0,0,9,mean,full,0.2559243537860827,0.2559037949507932,2842567.7442690255,2842662.9289873964,0.01794224825682722,0.017940112115599316,-6897.180814915337,-6886.604735096451,311019386.3264615,7499757.679948449,0.0
meanItemRT,Information value,gpt2_small,0,0,10,mean,full,0.2561950437377135,0.2561744923815965,2842462.3890334936,2842557.5737518645,0.01821293820845804,0.01821080954640264,-7002.536050447263,-6991.959970628377,310906239.46690583,7612904.539504111,0.0
meanItemRT,Information value,gpt2_small,1,1,1,mean,full,0.24076826057479994,0.240747282976142,2848406.3111106316,2848501.4958290025,0.0027861550455444695,0.0027836001409481392,-1058.613973309286,-1048.0378934904002,317354547.05059654,1164596.955813408,1.2215695960623381e-232
meanItemRT,Information value,gpt2_small,1,1,2,mean,full,0.25688038782788336,0.2568598554078467,2842195.474740394,2842290.659458765,0.01889828229862789,0.01889617257265286,-7269.450343546923,-7258.8742637280375,310619769.5368232,7899374.46958673,0.0
meanItemRT,Information value,gpt2_small,1,1,3,mean,full,0.2534553858397889,0.2534347587868314,2843526.925990425,2843622.110708796,0.01547328031053341,0.015471075951637547,-5937.999093515798,-5927.423013696913,312051400.87958294,6467743.126827002,0.0
meanItemRT,Information value,gpt2_small,1,1,4,mean,full,0.25233939891095414,0.25231874102324003,2843959.4408231378,2844054.6255415087,0.014357293381698666,0.014355058188046166,-5505.484260803089,-5494.908180984203,312517877.06586945,6001266.940540493,0.0
meanItemRT,Information value,gpt2_small,1,1,5,mean,full,0.25214090339578665,0.25212024002363476,2844036.3026368795,2844131.4873552504,0.014158797866531181,0.014156557188440888,-5428.622447061352,-5418.046367242467,312600847.06176984,5918296.9446401,0.0
meanItemRT,Information value,gpt2_small,1,1,6,mean,full,0.25195592674919554,0.2519352582661326,2844107.9112869683,2844203.096005339,0.013973821219940064,0.013971575430938743,-5357.0137969725765,-5346.437717153691,312678166.24752766,5840977.758882284,0.0
meanItemRT,Information value,gpt2_small,1,1,7,mean,full,0.25230622965046257,0.25228557084628067,2843972.286107675,2844067.470826046,0.014324124121207094,0.014321888011086803,-5492.638976265676,-5482.062896446791,312531741.62802184,5987402.378388107,0.0
meanItemRT,Information value,gpt2_small,1,1,8,mean,full,0.25274348126683754,0.25272283454393263,2843802.908205551,2843898.092923922,0.014761375737582072,0.01475915170873876,-5662.016878389753,-5651.440798570868,312348972.9403391,6170171.066070855,0.0
meanItemRT,Information value,gpt2_small,1,1,9,mean,full,0.2530705118335427,0.2530498741465034,2843676.161770166,2843771.346488537,0.015088406304287205,0.015086191311309505,-5788.763313774951,-5778.187233956065,312212276.0242605,6306867.982149422,0.0
meanItemRT,Information value,gpt2_small,1,1,10,mean,full,0.2532058328755252,0.253185198927411,2843623.6994925896,2843718.8842109605,0.015223727346269755,0.015221516092217113,-5841.225591351278,-5830.649511532392,312155712.5986886,6363431.407721341,0.0
meanItemRT,Information value,gpt2_small,2,2,1,mean,full,0.2421017158526524,0.24208077509740888,2847897.322776519,2847992.50749489,0.004119610323396916,0.004117092262215016,-1567.602307421621,-1557.0262276027352,316797170.3318157,1721973.6745942235,0.0
meanItemRT,Information value,gpt2_small,2,2,2,mean,full,0.2462669239611761,0.2462460982907736,2846301.6494838777,2846396.8342022486,0.008284818431920637,0.008282415455579728,-3163.275600063149,-3152.699520244263,315056137.0424899,3463006.963920057,0.0
meanItemRT,Information value,gpt2_small,2,2,3,mean,full,0.2471732480745581,0.24715244744592157,2845953.2726488113,2846048.4573671822,0.009191142545302622,0.009188764610727707,-3511.6524351295084,-3501.0763553106226,314677298.7200811,3841845.286328852,0.0
meanItemRT,Information value,gpt2_small,2,2,4,mean,full,0.24907029511522305,0.2490495469020605,2845222.7176942863,2845317.902412657,0.011088189585967578,0.011085864066866624,-4242.207389654592,-4231.631309835706,313884343.8512821,4634800.155127823,0.0
meanItemRT,Information value,gpt2_small,2,2,5,mean,full,0.25140180143920154,0.25138111764563764,2844322.319819632,2844417.504538003,0.013419695909946072,0.013417434810443774,-5142.605264308862,-5132.029184489977,312909787.47413176,5609356.53227818,0.0
meanItemRT,Information value,gpt2_small,2,2,6,mean,full,0.2535094222982692,0.2534887967383409,2843505.9670704585,2843601.1517888294,0.015527316769013755,0.015525113903147036,-5958.958013482392,-5948.381933663506,312028813.94740564,6490330.059004307,0.0
meanItemRT,Information value,gpt2_small,2,2,7,mean,full,0.2547847339796716,0.25476414365664823,2843010.8757445943,2843106.060462965,0.016802628450416135,0.016800460821454366,-6454.049339346588,-6443.473259527702,311495740.92110384,7023403.085306108,0.0
meanItemRT,Information value,gpt2_small,2,2,8,mean,full,0.2550276942359804,0.25500711062595716,2842916.4595768405,2843011.6442952114,0.0170455887067249,0.017043427790763288,-6548.465507100336,-6537.8894272814505,311394184.9164108,7124959.089999139,0.0
meanItemRT,Information value,gpt2_small,2,2,9,mean,full,0.2545595350825193,0.25453893853724274,2843098.3622307056,2843193.5469490765,0.0165774295532638,0.016575255702048874,-6366.562853235286,-6355.9867734164,311589872.77873164,6929271.227678299,0.0
meanItemRT,Information value,gpt2_small,2,2,10,mean,full,0.25358190051115903,0.25356127695380626,2843477.8528336016,2843573.0375519725,0.015599794981903559,0.01559759411861239,-5987.072250339203,-5976.496170520317,311998518.4668188,6520625.539591134,0.0
meanItemRT,Information value,gpt2_small,3,3,1,mean,full,0.24198700712616017,0.2419660632015107,2847941.143015383,2848036.3277337537,0.0040049015969046975,0.004002380366316838,-1523.7820685580373,-1513.2059887391515,316845117.92679673,1674026.0796132088,0.0
meanItemRT,Information value,gpt2_small,3,3,2,mean,full,0.24310935444436743,0.24308844153021236,2847512.106349434,2847607.2910678047,0.005127248915111959,0.005124758695018494,-1952.8187345070764,-1942.2426546881907,316375983.13394314,2143160.8724668026,0.0
meanItemRT,Information value,gpt2_small,3,3,3,mean,full,0.2433889129331498,0.24336800774320522,2847405.1413158816,2847500.3260342525,0.00540680740389432,0.005404324908011349,-2059.78376805922,-2049.2076882403344,316259129.2763201,2260014.7300898433,0.0
meanItemRT,Information value,gpt2_small,3,3,4,mean,full,0.2438350683554844,0.24381417549282924,2847234.35085054,2847329.535568911,0.005852962826228936,0.0058504926576353755,-2230.5742334006354,-2219.9981535817496,316072638.8484089,2446505.1580010653,0.0
meanItemRT,Information value,gpt2_small,3,3,5,mean,full,0.24440540943065614,0.24438453232654422,2847015.8747061687,2847111.0594245396,0.006423303901400668,0.0064208494913503555,-2449.0503777721897,-2438.474297953304,315834239.5242282,2684904.482181728,0.0
meanItemRT,Information value,gpt2_small,3,3,6,mean,full,0.24508388579497564,0.24506302743718866,2846755.7611360922,2846850.945854463,0.00710178026572017,0.007099344601994795,-2709.163947848603,-2698.5878680297174,315550640.2644737,2968503.7419362664,0.0
meanItemRT,Information value,gpt2_small,3,3,7,mean,full,0.24585796341064403,0.2458371264406477,2846458.710397441,2846553.895115812,0.00787585788138856,0.007873443605453834,-3006.2146864999086,-2995.638606681023,315227080.22562647,3292063.7807834744,0.0
meanItemRT,Information value,gpt2_small,3,3,8,mean,full,0.24677856873919268,0.2467577572055527,2846105.03274621,2846200.217464581,0.008796463209937211,0.00879407437035884,-3359.89233773062,-3349.3162579117343,314842272.4365381,3676871.569871843,0.0
meanItemRT,Information value,gpt2_small,3,3,9,mean,full,0.24784616078587496,0.24782537874983945,2845694.3441060903,2845789.528824461,0.009864055256619486,0.009861695914645585,-3770.5809778505936,-3760.004898031708,314396025.03562444,4123118.9707854986,0.0
meanItemRT,Information value,gpt2_small,3,3,10,mean,full,0.24897220868796865,0.24895145776467476,2845260.5361106256,2845355.7208289965,0.010990103158713183,0.010987774929480887,-4204.388973315246,-4193.812893496361,313925343.4197626,4593800.586647332,0.0
meanItemRT,Information value,gpt2_small,4,4,1,mean,full,0.24201899783032776,0.24199805478958258,2847928.9228133624,2848024.1075317333,0.004036892301072292,0.004034371954388716,-1536.0022705784068,-1525.426190759521,316831745.9944818,1687398.0119281411,0.0
meanItemRT,Information value,gpt2_small,4,4,2,mean,full,0.24314190617808362,0.243120994163334,2847499.653395144,2847594.8381135147,0.00515980064882815,0.005157311328140124,-1965.2716887970455,-1954.6956089781597,316362376.69446915,2156767.311940789,0.0
meanItemRT,Information value,gpt2_small,4,4,3,mean,full,0.24347158803633395,0.24345068513070522,2847373.500487689,2847468.68520606,0.00548948250707848,0.005487002295511356,-2091.42459625192,-2080.848516433034,316224571.5536105,2294572.4527994394,0.0
meanItemRT,Information value,gpt2_small,4,4,4,mean,full,0.24395128907079522,0.24393039941932237,2847189.844451393,2847285.029169764,0.0059691835415397465,0.005966716584128506,-2275.080632547848,-2264.504552728962,316024059.25070494,2495084.755704999,0.0
meanItemRT,Information value,gpt2_small,4,4,5,mean,full,0.24457767433052435,0.24455680198609742,2846949.8540955605,2847045.0388139314,0.006595568801268881,0.006593119150903548,-2515.07098838035,-2504.4949085614644,315762233.77627075,2756910.230139196,0.0
meanItemRT,Information value,gpt2_small,4,4,6,mean,full,0.2453676742625981,0.245346823745896,2846646.893257701,2846742.0779760717,0.007385568733342618,0.007383140910702135,-2818.0318262400106,-2807.455746421125,315432018.2997641,3087125.7066458464,0.0
meanItemRT,Information value,gpt2_small,4,4,7,mean,full,0.246285337834925,0.24626451267329852,2846294.575648306,2846389.760366677,0.008303232305669539,0.00830082983810465,-3170.349435634911,-3159.7733558160253,315048440.1480378,3470703.858372152,0.0
meanItemRT,Information value,gpt2_small,4,4,8,mean,full,0.24732643993545422,0.247305643539514,2845894.3466559905,2845989.5313743614,0.009344334406198751,0.00934196070432014,-3570.578427950386,-3560.0023481315,314613265.3938883,3905878.6125216484,0.0
meanItemRT,Information value,gpt2_small,4,4,9,mean,full,0.24849777665182649,0.24847701261995936,2845443.38946445,2845538.574182821,0.010515671122571013,0.01051332978476549,-4021.53561949078,-4010.959539671894,314123653.3113514,4395490.695058525,0.0
