y,metric,model,layer,layer_idx,horizon,aggregation,fold,rsquared,rsquared_adj,aic,bic,delta_rsquared,delta_rsquared_adj,delta_rsquared_aic,delta_rsquared_bic,anova_baseline_rss,anova_baseline_delta_ss,anova_baseline_p,anova_surprisal_rss,anova_surprisal_delta_ss,anova_surprisal_p
meanItemRT,Information value,gpt2_xl,24,6,All,mean,full,0.24399866043593754,0.24395688259641368,2847187.7017564615,2847367.495113385,0.033681000107904646,0.03365558636767563,-12600.750285623595,-12494.98948743334,316004258.28961855,14078466.400189579,0.0,316004258.28961855,3594391.567828715,0.0
meanItemRT,Information value,gpt2_xl,28,7,All,mean,full,0.24329358674071355,0.24325176993769304,2847457.6195879653,2847637.4129448887,0.032975926412680656,0.032950473708954986,-12330.832454119809,-12225.071655929554,316298975.08235234,13783749.60745579,0.0,316298975.08235234,3299674.7750949264,0.0
meanItemRT,Information value,gpt2_xl,32,8,All,mean,full,0.23731899493857878,0.2372768479700883,2849734.7820513602,2849914.5754082836,0.02700133461054588,0.026975551741350245,-10053.669990724884,-9947.90919253463,318796320.46021307,11286404.229595065,0.0,318796320.46021307,802329.3972342014,7.383406620441547e-151
meanItemRT,Information value,gpt2_xl,36,9,All,mean,full,0.22918232001458916,0.22913972340046795,2852807.4787810305,2852987.272137954,0.018864659686556262,0.0188384271717299,-6980.973261054605,-6875.2124628643505,322197404.2807546,7885320.4090535045,0.0,322197404.2807546,-2598754.423307359,1.0
meanItemRT,Information value,gpt2_xl,40,10,All,mean,full,0.22383606198601047,0.22379316992914555,2854808.808093244,2854988.6014501676,0.013518401657977575,0.013491873700407497,-4979.643948840909,-4873.883150650654,324432109.71648854,5650614.97331959,0.0,324432109.71648854,-4833459.859041274,1.0
meanItemRT,Information value,gpt2_xl,44,11,All,mean,full,0.2230814987497315,0.22303856499449892,2855090.1621825797,2855269.955539503,0.012763838421698592,0.012737268765760867,-4698.28985950537,-4592.5290613151155,324747512.8557878,5335211.834020317,0.0,324747512.8557878,-5148862.998340547,1.0
meanItemRT,Information value,gpt2_xl,48,12,All,mean,full,0.2427826261373759,0.24274078109785768,2847653.069502429,2847832.8628593525,0.032464965809342994,0.03243948486911963,-12135.382539656013,-12029.621741465759,316512553.7071813,13570170.982626855,0.0,316512553.7071813,3086096.1502659917,0.0
meanItemRT,Information value,gpt2_small,All,All,1,mean,full,0.23495025446173035,0.2349000489722448,2850638.671925842,2850850.193522222,0.02463259413369745,0.024598752743506758,-9149.780116243288,-9012.291078596376,319786440.5014007,10296284.188407421,0.0,319786440.5014007,-1267296.494990766,1.0
meanItemRT,Information value,gpt2_small,All,All,2,mean,full,0.2617481970353458,0.26169975012931446,2840314.5429746816,2840526.0645710616,0.0514305367073129,0.0513984539005764,-19473.909067403525,-19336.420029756613,308585052.98594177,21497671.703866363,0.0,308585052.98594177,9934091.020468175,0.0
meanItemRT,Information value,gpt2_small,All,All,3,mean,full,0.2635883501894003,0.26354002404125476,2839591.9173733816,2839803.4389697616,0.053270689861367404,0.053238727812516706,-20196.534668703564,-20059.04563105665,307815879.43801975,22266845.251788378,0.0,307815879.43801975,10703264.56839019,0.0
meanItemRT,Information value,gpt2_small,All,All,4,mean,full,0.26604497529128834,0.265996810356275,2838624.3845588556,2838835.9061552356,0.05572731496325545,0.05569551412753693,-21164.067483229563,-21026.57844558265,306789024.1236291,23293700.566179037,0.0,306789024.1236291,11730119.88278085,0.0
meanItemRT,Information value,gpt2_small,All,All,5,mean,full,0.26670318019477646,0.26665505845368553,2838364.6028654827,2838576.1244618627,0.05638551986674356,0.05635376222494748,-21423.849176602438,-21286.360138955526,306513898.21915746,23568826.470650673,0.0,306513898.21915746,12005245.787252486,0.0
meanItemRT,Information value,gpt2_small,All,All,6,mean,full,0.2671632282210763,0.2671151366700958,2838182.8916611313,2838394.4132575113,0.0568455678930434,0.05681384044135773,-21605.56038095383,-21468.071343306918,306321600.7618377,23761123.92797041,0.0,306321600.7618377,12197543.244572222,0.0
meanItemRT,Information value,gpt2_small,All,All,7,mean,full,0.26902144841362696,0.2689734788061605,2837447.7632894367,2837659.2848858167,0.058703788085594066,0.05867218257742246,-22340.68875264842,-22203.19971500151,305544875.29462576,24537849.39518237,0.0,305544875.29462576,12974268.711784184,0.0
meanItemRT,Information value,gpt2_small,All,All,8,mean,full,0.2697254465416241,0.2696775231332066,2837168.7671743827,2837380.2887707627,0.05940778621359122,0.05937622690446853,-22619.684867702425,-22482.195830055512,305250608.0828728,24832116.606935322,0.0,305250608.0828728,13268535.923537135,0.0
meanItemRT,Information value,gpt2_small,All,All,9,mean,full,0.2696986584480985,0.2696507332817438,2837179.3882803274,2837390.9098767075,0.05938099812006559,0.05934943705300577,-22609.063761757687,-22471.574724110775,305261805.3535422,24820919.33626592,0.0,305261805.3535422,13257338.652867734,0.0
meanItemRT,Information value,gpt2_small,All,All,10,mean,full,0.269659930894836,0.26961200318703116,2837194.7425271017,2837406.2641234817,0.05934227056680308,0.0593107069582931,-22593.709514983464,-22456.220477336552,305277993.25044614,24804731.43936199,0.0,305277993.25044614,13241150.755963802,0.0
meanItemRT,Information value,gpt2_medium,All,All,1,mean,full,0.2378508487624723,0.2378008336210753,2849538.795294393,2849750.316890773,0.027533188434439415,0.027499537392337237,-10249.656747692265,-10112.167710045353,318574008.5880742,11508716.101733923,0.0,318574008.5880742,-1415007.468434155,1.0
meanItemRT,Information value,gpt2_medium,All,All,2,mean,full,0.2702849503963921,0.27023706370475675,2836946.842594576,2837158.364190956,0.059967290068359214,0.0599357674760187,-22841.60944750905,-22704.12040986214,305016738.6551571,25065986.03465104,0.0,305016738.6551571,12142262.464482963,0.0
meanItemRT,Information value,gpt2_medium,All,All,3,mean,full,0.26381497781238505,0.2637666665364107,2839502.796158626,2839714.3177550063,0.05349731748435216,0.05346537030767262,-20285.65588345891,-20148.166845811997,307721150.3811234,22361574.308684707,0.0,307721150.3811234,9437850.738516629,0.0
meanItemRT,Information value,gpt2_medium,All,All,4,mean,full,0.26325554775564053,0.2632071997677268,2839722.7420882513,2839934.2636846313,0.05293788742760763,0.05290590353898872,-20065.709953833837,-19928.220916186925,307954988.96168524,22127735.72812289,0.0,307954988.96168524,9204012.157954812,0.0
meanItemRT,Information value,gpt2_medium,All,All,5,mean,full,0.263624415938593,0.2635760921572198,2839577.7363683293,2839789.2579647093,0.053306755610560086,0.05327479592848172,-20210.715673755854,-20073.226636108942,307800804.1600713,22281920.529736817,0.0,307800804.1600713,9358196.959568739,0.0
meanItemRT,Information value,gpt2_medium,All,All,6,mean,full,0.2633669313170448,0.26331859063854623,2839678.963764741,2839890.485361121,0.05304927098901191,0.05301729440980818,-20109.488277344033,-19971.99923969712,307908431.2667908,22174293.423017323,0.0,307908431.2667908,9250569.852849245,0.0
meanItemRT,Information value,gpt2_medium,All,All,7,mean,full,0.2645077688858595,0.2644595030734842,2839230.18614595,2839441.70774233,0.05419010855782658,0.05415820684474615,-20558.26589613501,-20420.776858488098,307431567.65439284,22651157.03541529,0.0,307431567.65439284,9727433.465247214,0.0
meanItemRT,Information value,gpt2_medium,All,All,8,mean,full,0.26370303239334436,0.2636547137710835,2839546.822074621,2839758.343671001,0.053385372065311465,0.05335341754234546,-20241.629967464134,-20104.140929817222,307767942.92931294,22314781.760495186,0.0,307767942.92931294,9391058.190327108,0.0
meanItemRT,Information value,gpt2_medium,All,All,9,mean,full,0.2628153117610982,0.26276693488321523,2839895.708199412,2840107.229795792,0.052497651433065284,0.052465638654477176,-19892.743842673022,-19755.25480502611,308139005.1024608,21943719.58734733,0.0,308139005.1024608,9019996.01717925,0.0
meanItemRT,Information value,gpt2_medium,All,All,10,mean,full,0.26196472214950983,0.2619162894526843,2840229.607420446,2840441.129016826,0.051647061821476936,0.05161499322394625,-19558.844621639233,-19421.35558399232,308494546.72024924,21588177.969558895,0.0,308494546.72024924,8664454.399390817,0.0
meanItemRT,Information value,gpt2_large,All,All,1,mean,full,0.2446759953869978,0.24462642813781832,2846934.165751674,2847145.6873480543,0.034358335058964906,0.034325131909080264,-12854.286290410906,-12716.797252763994,315721136.1341117,14361588.555696428,0.0,315721136.1341117,2171636.7282478213,0.0
meanItemRT,Information value,gpt2_large,All,All,2,mean,full,0.2781943635908468,0.27814699594514714,2833791.275650013,2834002.797246393,0.06787670326281392,0.06784569971640908,-25997.176392072346,-25859.687354425434,301710648.94444174,28372075.745366395,0.0,301710648.94444174,16182123.917917788,0.0
meanItemRT,Information value,gpt2_large,All,All,3,mean,full,0.2717719229232146,0.2717241338124019,2836356.213852505,2836567.7354488852,0.06145426259518172,0.06142283758366385,-23432.23818957992,-23294.749151933007,304395192.59982,25687532.089988112,0.0,304395192.59982,13497580.262539506,0.0
meanItemRT,Information value,gpt2_large,All,All,4,mean,full,0.2756651104332489,0.27561757680828636,2834804.100415092,2835015.622011472,0.06534745010521603,0.0653162805795483,-24984.351626993157,-24846.862589346245,302767862.3728654,27314862.31694275,0.0,302767862.3728654,15124910.489494145,0.0
meanItemRT,Information value,gpt2_large,All,All,5,mean,full,0.2792960897570387,0.2792487944108224,2833348.9856527057,2833560.5072490857,0.06897842942900578,0.06894749818208434,-26439.466389379464,-26301.977351732552,301250133.6757962,28832591.01401192,0.0,301250133.6757962,16642639.186563313,0.0
meanItemRT,Information value,gpt2_large,All,All,6,mean,full,0.2792902524743641,0.27924295674508304,2833351.33082176,2833562.85241814,0.06897259214633122,0.06894166051634498,-26437.12122032512,-26299.632182678208,301252573.62674004,28830151.063068092,0.0,301252573.62674004,16640199.235619485,0.0
meanItemRT,Information value,gpt2_large,All,All,7,mean,full,0.277354048864475,0.27730662607410994,2834128.1679602126,2834339.6895565926,0.06703638853644212,0.06700532984537189,-25660.284081872553,-25522.79504422564,302061895.71867377,28020828.971134365,0.0,302061895.71867377,15830877.143685758,0.0
