y,metric,model,aggregation,dist_metric,fold,loglik,delta_loglik,rsquared,delta_rsquared,rsquared_adj,delta_rsquared_adj,aic,bic,anova_p_vs_baseline,anova_p_ias_vs_surprisal,anova_p_surprisal_vs_ias,anova_p_both_vs_ias,anova_p_both_vs_surprisal
meanItemRT,Surprisal,gpt2_small,,,2,-4.92071417598514,0.01777167690039949,0.2372089591943043,0.027599739929519584,0.23718846869486987,0.027597448130267543,2564633.179953343,2564716.9457046995,,,,,
meanItemRT,IAS (mean),gpt2_small,Smean,cosine_std,2,-4.8548387009808565,0.08364715190468264,0.3313684383125427,0.121759219047758,0.3310193062393425,0.12142828567474018,2530557.6728868107,2531992.161378798,,,,,
meanItemRT,Surprisal + IAS (mean),gpt2_small,Smean,cosine_std,2,-4.8454424697266205,0.09304338315891858,0.3438163421483169,0.1342071228835322,0.34347118918149844,0.1338801686168961,2525662.469911878,2527107.429122785,,,,,
meanItemRT,IAS (min),gpt2_small,Smin,cosine_std,2,-4.891559262559457,0.04692659032608226,0.28041525565511305,0.07080603639032834,0.28003951791248793,0.07044849734788561,2549695.988934838,2551130.4774268256,,,,,
meanItemRT,Surprisal + IAS (min),gpt2_small,Smin,cosine_std,2,-4.884632166274546,0.0538536866109931,0.29031578102375843,0.08070656175897373,0.28994248673220924,0.08035146616760691,2546087.669476298,2547532.6286872053,,,,,
meanItemRT,Surprisal,gpt2_medium,,,2,-4.918513733158216,0.019972119727323268,0.24055853937683858,0.03094932011205387,0.24053813885561204,0.030947118291009712,2563486.3355572643,2563570.101308621,,,,,
meanItemRT,IAS (mean),gpt2_medium,Smean,cosine_std,2,-4.855274822072524,0.08321103081301473,0.33078497523569006,0.12117575597090535,0.3304355385019184,0.1208445179373161,2530784.973966335,2532219.4624583223,,,,,
meanItemRT,Surprisal + IAS (mean),gpt2_medium,Smean,cosine_std,2,-4.8426109665881345,0.0958748862974046,0.34752181236821134,0.13791259310342663,0.3471786084807772,0.13758758791617487,2524186.7244541366,2525631.6836650437,,,,,
meanItemRT,IAS (min),gpt2_medium,Smin,cosine_std,2,-4.8910063282856955,0.047479524599843614,0.28121058194691095,0.07160136268212625,0.28083525949116883,0.0712442389265665,2549407.806226565,2550842.2947185524,,,,,
meanItemRT,Surprisal + IAS (min),gpt2_medium,Smin,cosine_std,2,-4.884495896557681,0.0539899563278583,0.29050917160447065,0.08089995233968594,0.2901359790364738,0.08054495847187149,2546016.6473351046,2547461.6065460118,,,,,
meanItemRT,Surprisal,gpt2_large,,,2,-4.919728717758806,0.018757135126732827,0.2387108760440867,0.029101656779301988,0.23869042588994305,0.02909940532534072,2564119.570951277,2564203.3367026336,,,,,
meanItemRT,IAS (mean),gpt2_large,Smean,cosine_std,2,-4.839719492796483,0.09876636008905582,0.35128417028205616,0.14167495101727146,0.35094543739009454,0.1413544168254922,2522677.7230116134,2524112.2115036007,,,,,
meanItemRT,Surprisal + IAS (mean),gpt2_large,Smean,cosine_std,2,-4.824119783925001,0.11436606896053814,0.3712112533568066,0.1616020340920219,0.3708805101284298,0.1612894895638275,2514549.3419443034,2515994.3011552105,,,,,
meanItemRT,IAS (min),gpt2_large,Smin,cosine_std,2,-4.881245406546824,0.0572404463387155,0.2951065972276581,0.08549737796287338,0.2947385307031376,0.08514751013853528,2544320.5309473258,2545755.019439313,,,,,
meanItemRT,Surprisal + IAS (min),gpt2_large,Smin,cosine_std,2,-4.87188756380674,0.06659828907879906,0.30817647310396656,0.09856725383918186,0.3078125735463263,0.09822155298172397,2539445.335605307,2540890.294816214,,,,,
meanItemRT,Surprisal,gpt2_xl,,,2,-4.922353819908393,0.01613203297714616,0.23470344189393344,0.025094222629148732,0.23468288408995808,0.02509186352535575,2565487.7426904156,2565571.5084417723,,,,,
meanItemRT,IAS (mean),gpt2_xl,Smean,cosine_std,2,-4.846556354788955,0.0919294980965839,0.34235288628265015,0.13274366701786544,0.3420094898392235,0.1324184692746212,2526241.013439746,2527675.5019317335,,,,,
meanItemRT,Surprisal + IAS (mean),gpt2_xl,Smean,cosine_std,2,-4.835467625358419,0.10301822752712031,0.356777288594851,0.14716806933006632,0.3564389530930292,0.14684793252842687,2520463.7007253035,2521908.6599362106,,,,,
meanItemRT,IAS (min),gpt2_xl,Smin,cosine_std,2,-4.885567412950799,0.05291843993474021,0.2889870791332333,0.07937785986844859,0.2886158172464809,0.07902479668187856,2546573.108821001,2548007.5973129882,,,,,
meanItemRT,Surprisal + IAS (min),gpt2_xl,Smin,cosine_std,2,-4.879081239374221,0.05940461351131798,0.2981510181638529,0.08854179889906821,0.2977818452113713,0.08819082464676897,2543194.5929869716,2544639.5521978787,,,,,
meanItemRT,Baseline,,,,3,-4.937805636672531,,0.21026552977428647,,0.21024734618561414,,2573539.044166083,2573612.3391985204,,,,,
meanItemRT,Surprisal,gpt2_small,,,3,-4.9198026012434894,0.018003035429041248,0.23819493369231415,0.027929403918027673,0.23817446967865208,0.027927123493037942,2564158.0781368916,2564241.8438882483,,,,,
meanItemRT,IAS (mean),gpt2_small,Smean,cosine_std,3,-4.853765033708822,0.08404060296370908,0.3324491484992066,0.12218361872492012,0.3321005807286951,0.12185323454308095,2529998.0903886333,2531432.5788806207,,,,,
meanItemRT,Surprisal + IAS (mean),gpt2_small,Smean,cosine_std,3,-4.844343245788975,0.09346239088355546,0.34491041743607853,0.13464488766179206,0.34456583995346635,0.1343184937678522,2525089.5675862646,2526534.5267971717,,,,,
meanItemRT,IAS (min),gpt2_small,Smin,cosine_std,3,-4.89076872696626,0.04703690970627061,0.28117139047049045,0.07090586069620397,0.2807960475505612,0.07054870136494706,2549283.9712700914,2550718.4597620787,,,,,
meanItemRT,Surprisal + IAS (min),gpt2_small,Smin,cosine_std,3,-4.883641132909858,0.05416450376267257,0.2913457366172699,0.08108020684298345,0.2909729840829324,0.08072563789731824,2545571.154779023,2547016.11398993,,,,,
meanItemRT,Surprisal,gpt2_medium,,,3,-4.9178341983237726,0.01997143834875814,0.24118811666985251,0.03092258689556604,0.24116773306066674,0.030920386875052608,2563132.1701559704,2563215.935907327,,,,,
meanItemRT,IAS (mean),gpt2_medium,Smean,cosine_std,3,-4.854611771888808,0.08319386478372248,0.33131770915059033,0.12105217937630386,0.33096855058869523,0.1207212044030811,2530439.400167184,2531873.8886591713,,,,,
meanItemRT,Surprisal + IAS (mean),gpt2_medium,Smean,cosine_std,3,-4.841963391049817,0.09584224562271348,0.34802104481740936,0.1377555150431229,0.3476781035265195,0.13743075734090537,2523849.215854472,2525294.175065379,,,,,
meanItemRT,IAS (min),gpt2_medium,Smin,cosine_std,3,-4.890096145566271,0.04770949110625988,0.28213768192022104,0.07187215214593456,0.2817628435581926,0.07151549737257845,2548933.4299153937,2550367.918407381,,,,,
meanItemRT,Surprisal + IAS (min),gpt2_medium,Smin,cosine_std,3,-4.8834004089967555,0.05440522767577516,0.29168683455493516,0.08142130478064868,0.2913142614383014,0.08106691525268728,2545445.692364201,2546890.651575108,,,,,
meanItemRT,Surprisal,gpt2_large,,,3,-4.919011710817108,0.018793925855423055,0.23939898983215313,0.029133460057866656,0.23937855816248876,0.029131211976874627,2563745.8755373466,2563829.6412887033,,,,,
meanItemRT,IAS (mean),gpt2_large,Smean,cosine_std,3,-4.838921019756825,0.09888461691570605,0.35197612390930644,0.14171059413501996,0.3516377523272475,0.14139040614163334,2522261.56844502,2523696.0569370072,,,,,
meanItemRT,Surprisal + IAS (mean),gpt2_large,Smean,cosine_std,3,-4.823489391082474,0.11431624559005638,0.3716707678291401,0.16140523805485363,0.3713402663056298,0.16109292012001564,2514220.788759493,2515665.7479704,,,,,
meanItemRT,IAS (min),gpt2_large,Smin,cosine_std,3,-4.880382442673628,0.05742319399890228,0.2959492882313647,0.08568375845707821,0.2955816617256438,0.08533431554002968,2543870.764532183,2545305.25302417,,,,,
meanItemRT,Surprisal + IAS (min),gpt2_large,Smin,cosine_std,3,-4.870971162494904,0.066834474177627,0.3090773854546379,0.09881185568035145,0.30871395977739224,0.09846661359177811,2538967.718238394,2540412.677449301,,,,,
meanItemRT,Surprisal,gpt2_xl,,,3,-4.921629866795547,0.016175769876983992,0.23540579999839029,0.02514027022410381,0.23538526106153257,0.025137914875918432,2565110.4270154373,2565194.192766794,,,,,
meanItemRT,IAS (mean),gpt2_xl,Smean,cosine_std,3,-4.845663662300181,0.09214197437234972,0.3431781489245458,0.13291261915025931,0.34283518339954067,0.13258783721392653,2525775.7528269067,2527210.241318894,,,,,
