y,metric,model,aggregation,dist_metric,fold,loglik,delta_loglik,rsquared,delta_rsquared,rsquared_adj,delta_rsquared_adj,aic,bic,anova_p_vs_baseline,anova_p_ias_vs_surprisal,anova_p_surprisal_vs_ias,anova_p_both_vs_ias,anova_p_both_vs_surprisal
rating_sd,IAS (min),gpt2_large,Smin,cosine_std,full,0.35036716590261485,0.11765344330819258,0.35510101504203084,0.17108977367071632,0.2891068374993041,0.10845127299692181,-753.2765304264667,-28.506405531283008,5.230617683708878e-19,0.9999999999999999,,,
rating_sd,Surprisal + IAS (min),gpt2_large,Smin,cosine_std,full,0.3981024535724563,0.16538873097803405,0.4138222233316814,0.22981098196036687,0.3533505701663503,0.172695005663968,-891.236393874442,-161.1759760968116,3.98155048139034e-38,,,2.120364194251741e-29,0.3461772767898154
rating_sd,Surprisal,gpt2_xl,,,full,0.3458451548190997,0.11313143222467745,0.34924208009338764,0.16523083872207311,0.3461177279402008,0.1654621634378185,-998.0179939296004,-955.6956508700276,1.0731080924927045e-73,,,,
rating_sd,IAS (mean),gpt2_xl,Smean,cosine_std,full,0.43748833821354494,0.20477461561912266,0.4582246958787233,0.27421345450740875,0.4027834307466739,0.2221278662442916,-1008.7158076421138,-283.94568274693006,2.7761663666586584e-56,2.6644969408533923e-10,,,
rating_sd,Surprisal + IAS (mean),gpt2_xl,Smean,cosine_std,full,0.45063800209733657,0.2179242795029143,0.47228729322076046,0.28827605184944594,0.41784705163284186,0.23719148713045957,-1045.2706221493909,-315.2102043717605,4.0895599137830625e-62,,,3.448794187566266e-09,2.1289785295666576e-14
rating_sd,IAS (min),gpt2_xl,Smin,cosine_std,full,0.3630424561324486,0.13032873353802635,0.3712440958910238,0.18723285451970928,0.30690188147505637,0.12624631697267408,-790.4404813803394,-65.67035648515571,7.64388375364223e-24,0.9999999999945093,,,
rating_sd,Surprisal + IAS (min),gpt2_xl,Smin,cosine_std,full,0.4004599658703589,0.16774624327593665,0.41657956040183486,0.23256831903052033,0.35639236143726505,0.17573679693488276,-898.1486199318924,-168.08820215426204,3.733812718472705e-39,,,2.1226896793827636e-23,0.09158711600535634
cloze_p_smoothed,Baseline,,,,full,0.24002923404493007,,0.19680950085354365,,0.19350645562059043,,-689.765714219735,-652.7336640426088,,,,,
cloze_p_smoothed,Surprisal,gpt2_small,,,full,0.4070614805970725,0.1670322465521424,0.42490949580511084,0.2280999949515672,0.42214843028428484,0.2286419746636944,-1177.5042611106164,-1135.1819180510436,6.722672150032047e-108,,,,
cloze_p_smoothed,IAS (mean),gpt2_small,Smean,cosine_std,full,0.6616179485713058,0.4215887145263758,0.654354220819905,0.45754471996636137,0.6189833961634017,0.42547694054281127,-1665.8638252110686,-941.0937003158849,8.20952767759683e-167,1.3462462979338748e-80,,,
cloze_p_smoothed,Surprisal + IAS (mean),gpt2_small,Smean,cosine_std,full,0.6771775850287683,0.4371483509838383,0.6649448255387338,0.46813532468519015,0.6303796456432568,0.43687319002266634,-1709.484679304349,-979.4242615267185,1.4012048232422817e-174,,,1.2984429475512222e-10,6.654707166930178e-88
cloze_p_smoothed,IAS (min),gpt2_small,Smin,cosine_std,full,0.3938167037849526,0.15378746974002253,0.4094720421167821,0.21266254126323847,0.34904179210013975,0.1555353364795493,-880.670575497481,-155.90045060229727,1.944714448422796e-33,1.0,,,
cloze_p_smoothed,Surprisal + IAS (min),gpt2_small,Smin,cosine_std,full,0.4858431180132527,0.24581388396832263,0.5087446016263153,0.31193510077277165,0.45806539260734325,0.2645589369867528,-1148.492022014857,-418.43160423722657,1.4657604533512122e-75,,,4.4695818477068906e-55,1.668798796389644e-06
cloze_p_smoothed,Surprisal,gpt2_medium,,,full,0.4153561022948031,0.175326868249873,0.4343711146170989,0.23756161376355522,0.43165547524969117,0.23814901962910073,-1201.8240919283626,-1159.5017488687897,3.686312198001886e-113,,,,
cloze_p_smoothed,IAS (mean),gpt2_medium,Smean,cosine_std,full,0.7236661456142439,0.4836369115693139,0.694692917801668,0.4978834169481243,0.6634500561169627,0.4699436004963723,-1847.7891389409633,-1123.0190140457796,2.777052669222056e-200,1.0650492648994902e-107,,,
