y,metric,model,layer,layer_idx,horizon,aggregation,dist_metric,fold,loglik,rsquared,rsquared_adj,aic,bic,delta_loglik,delta_rsquared,delta_rsquared_adj,delta_aic,delta_bic,anova_rss,anova_delta_ss,anova_p
rating_mean,Information value,gpt2_small,All,All,7,mean,cosine_std,2,-0.8449787513148438,0.39415758571712267,0.385296149326534,2269.053945968558,2372.7465290229043,0.13013409473623327,0.1801035947620786,0.17483642365675656,-317.29374191418356,-249.8935629288585,,,
rating_mean,Information value,gpt2_small,All,All,8,mean,cosine_std,2,-0.8473699740013608,0.3912532380597721,0.38234932083354856,2275.3619914155897,2379.054574469936,0.12774287204971624,0.177199247104728,0.17188959516377111,-310.9856964671517,-243.58551748182663,,,
rating_mean,Information value,gpt2_small,All,All,9,mean,cosine_std,2,-0.8528421170067568,0.38455434897439245,0.3755524495367585,2289.7975046638244,2393.490087718171,0.12227072904432024,0.17050035801934837,0.16509272386698104,-296.550183218917,-229.15000423359197,,,
rating_mean,Information value,gpt2_small,All,All,10,mean,cosine_std,2,-0.855656568472098,0.3810802967671434,0.3720275836328676,2297.2220276293947,2400.914610683741,0.11945627757897903,0.16702630581209932,0.16156785796309014,-289.1256602533467,-221.72548126802167,,,
rating_mean,Information value,gpt2_small,All,All,1,mean,cosine_std,3,-0.8503247448604563,0.4012755262271309,0.39251820136055315,2283.1566769418837,2386.84925999623,0.1333681323750714,0.1830277023867517,0.17784546369163567,-325.8251332054383,-258.42495422011325,,,
rating_mean,Information value,gpt2_small,All,All,2,mean,cosine_std,3,-0.8582399073657657,0.3917221058464837,0.38282504657864935,2304.03687563089,2407.7294586852363,0.12545296986976195,0.17347428200610449,0.16815230890973187,-304.9449345164321,-237.54475553110706,,,
rating_mean,Information value,gpt2_small,All,All,3,mean,cosine_std,3,-0.8420382819323539,0.41111637149868907,0.4025029850925883,2261.2969877375494,2364.989570791896,0.1416545953031738,0.19286854765830985,0.18783024742367083,-347.68482240977255,-280.2846434244475,,,
rating_mean,Information value,gpt2_small,All,All,4,mean,cosine_std,3,-0.8487791317415565,0.4031234613653548,0.3943931655731622,2279.079349534226,2382.7719325885723,0.13491374549397117,0.1848756375249756,0.1797204279042447,-329.9024606130961,-262.502281627771,,,
rating_mean,Information value,gpt2_small,All,All,5,mean,cosine_std,3,-0.8527966977105061,0.3983081597424958,0.38950743228684326,2289.6776885603153,2393.3702716146618,0.13089617952502153,0.18006033590211656,0.17483469461792578,-319.30412158700665,-251.9039426016816,,,
rating_mean,Information value,gpt2_small,All,All,6,mean,cosine_std,3,-0.857754449290066,0.392312406066076,0.38342398090460983,2302.756237227194,2406.4488202815405,0.12593842794546173,0.17406458222569676,0.16875124323569235,-306.2255729201279,-238.82539393480283,,,
rating_mean,Information value,gpt2_small,All,All,7,mean,cosine_std,3,-0.8618639531144004,0.38729723545278905,0.3783354552169176,2313.5971083157883,2417.2896913701347,0.12182892412112722,0.16904941161240983,0.1636627175480001,-295.3847018315337,-227.98452284620862,,,
rating_mean,Information value,gpt2_small,All,All,8,mean,cosine_std,3,-0.8652913637560403,0.3830828395390019,0.3740594168686717,2322.6386175884345,2426.331200642781,0.11840151347948735,0.1648350156986227,0.15938667919975424,-286.3431925588875,-218.94301357356244,,,
rating_mean,Information value,gpt2_small,All,All,9,mean,cosine_std,3,-0.8689802715162561,0.37851450710275525,0.36942426509732984,2332.3699562598836,2436.06253931423,0.11471260571927155,0.16026668326237603,0.15475152742841236,-276.61185388743843,-209.21167490211337,,,
rating_mean,Information value,gpt2_small,All,All,10,mean,cosine_std,3,-0.8709845645642976,0.376018229066971,0.3668914749116765,2337.657281320617,2441.3498643749635,0.11270831267123005,0.1577704052265918,0.15221873724275903,-271.32452882670486,-203.9243498413798,,,
rating_mean,Information value,gpt2_small,All,All,1,mean,cosine_std,4,-0.8439719774371198,0.4087044784793925,0.40005581419233205,2266.398076479122,2370.0906595334686,0.13858820309179554,0.18885925780202706,0.18377837451796653,-339.59567975615664,-272.1955007708316,,,
rating_mean,Information value,gpt2_small,All,All,2,mean,cosine_std,4,-0.8564134725487113,0.39380669577972327,0.3849401270497885,2299.2187405835,2402.9113236378466,0.1261467079802041,0.17396147510235782,0.168662687375423,-306.77501565177863,-239.37483666645358,,,
rating_mean,Information value,gpt2_small,All,All,3,mean,cosine_std,4,-0.8422048306454973,0.4107906017892695,0.40217245046825034,2261.736343242822,2365.4289262971683,0.14035534988341802,0.19094538111190407,0.18589501079388482,-344.2574129924569,-276.85723400713186,,,
rating_mean,Information value,gpt2_small,All,All,4,mean,cosine_std,4,-0.8474227465148046,0.40460951535840395,0.39590095553685634,2275.5012053060545,2379.193788360401,0.1351374340141107,0.1847642946810385,0.1796235158624908,-330.4925509292243,-263.09237194389925,,,
rating_mean,Information value,gpt2_small,All,All,5,mean,cosine_std,4,-0.8510588355643153,0.4002639479968373,0.39149182714382724,2285.0932082186637,2388.78579127301,0.1315013449646001,0.18041872731947184,0.17521438746946172,-320.9005480166152,-253.50036903129012,,,
rating_mean,Information value,gpt2_small,All,All,6,mean,cosine_std,4,-0.8558139877685327,0.39453306756333173,0.38567712320898484,2297.637299733389,2401.3298827877356,0.12674619276038268,0.17468784688596628,0.16939968353461932,-308.3564565018896,-240.95627751656457,,,
rating_mean,Information value,gpt2_small,All,All,7,mean,cosine_std,4,-0.8598758366631503,0.38959440423901737,0.38066622385452265,2308.3524571173903,2412.0450401717367,0.1226843438657651,0.16974918356165192,0.16438878418015712,-297.6412991178886,-230.24112013256354,,,
