y,metric,model,layer,layer_idx,horizon,aggregation,dist_metric,fold,loglik,rsquared,rsquared_adj,aic,bic,delta_loglik,delta_rsquared,delta_rsquared_adj,delta_aic,delta_bic,anova_rss,anova_delta_ss,anova_p
meanItemRT,Information value,gpt2_small,All,All,9,mean,cosine_std,1,-4.905607441520925,0.2603384746834292,0.26028454156277625,2556783.731231408,2556993.1456098007,0.03282378756244775,0.0501862666202475,0.05015051969749251,-17081.364192096982,-16945.244846141897,,,
meanItemRT,Information value,gpt2_small,All,All,10,mean,cosine_std,1,-4.906859679338361,0.25848368875169814,0.25842962038757233,2557436.382555002,2557645.7969333944,0.03157154974501175,0.04833148068851645,0.048295598522288596,-16428.712868503295,-16292.59352254821,,,
meanItemRT,Information value,gpt2_small,All,All,1,mean,cosine_std,2,-4.915749223083746,0.24474591979184213,0.24469084972528155,2562069.5060805716,2562278.920458964,0.02273662980179303,0.03513670052705742,0.03509982916067922,-11824.058613136876,-11687.939267181791,,,
meanItemRT,Information value,gpt2_small,All,All,2,mean,cosine_std,2,-4.894945716702649,0.27552503235424997,0.2754722065758328,2551226.9681968205,2551436.382575213,0.04354013618288999,0.06591581308946526,0.0658811860112305,-22666.59649688797,-22530.477150932886,,,
meanItemRT,Information value,gpt2_small,All,All,3,mean,cosine_std,2,-4.897696654047095,0.271528076574585,0.27147495935435173,2552660.7237294978,2552870.1381078903,0.040789198838443674,0.06191885730980029,0.061883938789749404,-21232.840964210685,-21096.7216182556,,,
meanItemRT,Information value,gpt2_small,All,All,4,mean,cosine_std,2,-4.900712153925608,0.26712138756828596,0.2670679490301502,2554232.36608018,2554441.7804585723,0.03777369895993132,0.057512168303501254,0.05747692846554786,-19661.198613528628,-19525.079267573543,,,
meanItemRT,Information value,gpt2_small,All,All,5,mean,cosine_std,2,-4.901250406358037,0.26633201537127815,0.266278519275321,2554512.896788933,2554722.3111673254,0.03723544652750199,0.056722796106493445,0.05668749871071865,-19380.66790477559,-19244.548558820505,,,
meanItemRT,Information value,gpt2_small,All,All,6,mean,cosine_std,2,-4.902305464740262,0.2647822557456696,0.2647286466475216,2555062.780557048,2555272.1949354406,0.03618038814527669,0.055173036480884896,0.05513762608291928,-18830.784136660397,-18694.664790705312,,,
meanItemRT,Information value,gpt2_small,All,All,7,mean,cosine_std,2,-4.903154153762531,0.26353325357397706,0.2634795534036527,2555505.107091186,2555714.5214695786,0.03533169912300771,0.05392403430919235,0.053888532839050374,-18388.457602522336,-18252.33825656725,,,
meanItemRT,Information value,gpt2_small,All,All,8,mean,cosine_std,2,-4.903977242227321,0.2623199005837761,0.2622661119406693,2555934.090921973,2556143.5053003654,0.034508610658217975,0.05271068131899137,0.05267509137606696,-17959.47377173556,-17823.354425780475,,,
