y,metric,model,layer,layer_idx,horizon,aggregation,dist_metric,fold,loglik,rsquared,rsquared_adj,aic,bic,delta_loglik,delta_rsquared,delta_rsquared_adj,delta_aic,delta_bic,anova_rss,anova_delta_ss,anova_p,ias_coef
meanItemRT,Information value,gpt2_small,5,5,2,mean,cosine_std,full,-4.909103213402171,0.2551475981453294,0.25512959044758377,2842867.85267477,2842952.461313322,0.029222341239850458,0.044829937817296495,0.04482829421884571,-16920.59936731495,-16910.023287496064,311344065.7645562,18738658.9252519,0.0,230.6550374755677
meanItemRT,Information value,gpt2_small,5,5,3,mean,cosine_std,full,-4.918412996522937,0.241148848617861,0.24113050248360135,2848259.12946044,2848343.738098992,0.01991255811908399,0.030831188289828115,0.030829206254863295,-11529.322581645101,-11518.746501826216,317195463.41414326,12887261.275664866,0.0,192.96418458641503
meanItemRT,Information value,gpt2_small,5,5,4,mean,cosine_std,full,-4.922771828709342,0.23450451953517792,0.2344860127663153,2850783.3204619223,2850867.9291004743,0.015553725932679008,0.02418685920714503,0.024184716537577255,-9005.131580162793,-8994.555500343908,319972755.1644676,10109969.525340557,0.0,175.07749632762426
meanItemRT,Information value,gpt2_small,5,5,5,mean,cosine_std,full,-4.9243128377227245,0.2321416092694265,0.2321230453743819,2851675.7156995544,2851760.3243381064,0.014012716919296508,0.02182394894139361,0.02182174914564383,-8112.736342530698,-8102.160262711812,320960438.2105906,9122286.47921753,0.0,174.70109377543073
meanItemRT,Information value,gpt2_small,5,5,6,mean,cosine_std,full,-4.924904249664726,0.2312328306687058,0.23121424480285158,2852018.2011723435,2852102.8098108955,0.013421304977295101,0.020915170340672917,0.02091294857411352,-7770.250869741663,-7759.674789922778,321340302.49474096,8742422.195067167,0.0,181.47135733188657
meanItemRT,Information value,gpt2_small,5,5,7,mean,cosine_std,full,-4.925277913806428,0.23065809448813612,0.23063949472734724,2852234.589329475,2852319.197968027,0.013047640835592844,0.020340434160103227,0.020338198498609183,-7553.862712610047,-7543.2866327911615,321580538.9479698,8502185.741838336,0.0,189.86480628146094
meanItemRT,Information value,gpt2_small,5,5,8,mean,cosine_std,full,-4.925578150981359,0.23019598567931032,0.23017737474648825,2852408.456077003,2852493.064715555,0.012747403660662293,0.019878325351277426,0.019876078517750195,-7379.995965082198,-7369.419885263313,321773697.80065954,8309026.889148593,0.0,198.59271872399418
meanItemRT,Information value,gpt2_small,5,5,9,mean,cosine_std,full,-4.9257762665392955,0.2298909049383041,0.2298722866297902,2852523.184400373,2852607.793038925,0.012549288102725598,0.019573244610271212,0.019570990401052146,-7265.26764171198,-7254.691561893094,321901219.8144905,8181504.875317633,0.0,206.89878767069078
meanItemRT,Information value,gpt2_small,5,5,10,mean,cosine_std,full,-4.92592019031703,0.22966919901079585,0.22965057534227595,2852606.5303722117,2852691.1390107637,0.012405364324990842,0.01935153868276296,0.0193492791135379,-7181.921669873409,-7171.345590054523,321993891.63068205,8088833.059126079,0.0,214.49800952297676
meanItemRT,Information value,gpt2_small,6,6,1,mean,cosine_std,full,-4.9282038050222114,0.22614287488498663,0.22612416596336316,2853928.9670807524,2854013.5757193044,0.010121749619809606,0.015825214556953737,0.0158228697346251,-5859.484961332753,-5848.9088815138675,323467875.0504835,6614849.639324605,0.0,149.1825375093104
meanItemRT,Information value,gpt2_small,6,6,2,mean,cosine_std,full,-4.911852483885946,0.25104071611668133,0.2510226091301503,2844459.949713384,2844544.558351936,0.026473070756074968,0.04072305578864843,0.04072131290141223,-15328.502328701317,-15317.926248882432,313060719.0843695,17022005.60543865,0.0,228.57213470796725
meanItemRT,Information value,gpt2_small,6,6,3,mean,cosine_std,full,-4.921891134098493,0.23585166824880688,0.23583319404887582,2850273.3119741688,2850357.920612721,0.016434420543528283,0.025534007920773982,0.02553189782013776,-9515.140067916363,-9504.563988097478,319409654.6674478,10673070.022360325,0.0,173.9402345054734
meanItemRT,Information value,gpt2_small,6,6,4,mean,cosine_std,full,-4.926188153041925,0.2292562484843299,0.22923761483223715,2852761.7070502727,2852846.3156888247,0.012137401600096354,0.01893858815629701,0.01893631860349909,-7026.744991812389,-7016.168911993504,322166502.60105604,7916222.088752091,0.0,149.74405725741607
